pdbid,uniprot
3qmg,CXXC-type zinc finger protein 1
3qmh,CXXC-type zinc finger protein 1
3qmi,CXXC-type zinc finger protein 1
3qqy,
3qrf,
3qsv,Mothers against decapentaplegic homolog 4
3qws,
3qyn,Tumor protein 63
3r7p,
3reh,Histone H3.2
3rei,Histone H3.2
3rej,Histone H3.2
3rek,Histone H3.2
3rel,Histone H3.2
3ri4,Protein C-ets-1
3rje,DNA polymerase beta
3rjg,DNA polymerase beta
3rjj,DNA polymerase beta
3rkq,Homeobox protein Nkx-2.5
3rma,DNA-directed DNA polymerase
3rmb,DNA-directed DNA polymerase
3rmc,DNA-directed DNA polymerase
3rmp,
3rn2,Interferon-inducible protein AIM2
3rn5,Interferon-inducible protein AIM2
3rnu,Gamma-interferon-inducible protein 16
3rzg,DNA oxidative demethylase ALKBH2
3rzh,DNA oxidative demethylase ALKBH2
3rzl,DNA oxidative demethylase ALKBH2
3s6i,DNA-3-methyladenine glycosylase 1
3s8q,
3sar,Formamidopyrimidine-DNA glycosylase
3sas,Formamidopyrimidine-DNA glycosylase
3sat,Formamidopyrimidine-DNA glycosylase
3sau,Formamidopyrimidine-DNA glycosylase
3sav,Formamidopyrimidine-DNA glycosylase
3saw,Formamidopyrimidine-DNA glycosylase
3sbj,Formamidopyrimidine-DNA glycosylase
3sjm,Telomeric repeat-binding factor 2
3slp,Exonuclease
3sm4,Exonuclease
3spd,Aprataxin-like protein
3sqi,
3sz2,"DNA polymerase I, thermostable"
3tab,DNA-directed DNA polymerase
3tae,DNA-directed DNA polymerase
3taf,DNA-directed DNA polymerase
3tag,DNA-directed DNA polymerase
3ted,Chromo domain-containing protein 1
3tmm,"Transcription factor A, mitochondrial"
3tq1,DNA polymerase eta
3tq6,"Transcription factor A, mitochondrial"
3ts8,Cellular tumor antigen p53
3tu4,Histone H3.2
3twm,Formamidopyrimidine-DNA glycosylase
3u2b,
3u3w,
3u4q,ATP-dependent helicase/nuclease subunit A
3u6o,Formamidopyrimidine-DNA glycosylase
3u6p,Formamidopyrimidine-DNA glycosylase
3u6s,Formamidopyrimidine-DNA glycosylase
3ufd,
3ufj,G/T mismatch-specific thymine DNA glycosylase
3ugm,TAL effector protein PthXo1
3uk3,
3ukg,DNA-binding protein RAP1
3uo7,G/T mismatch-specific thymine DNA glycosylase
3uq0,DNA polymerase lambda
3uq2,DNA polymerase lambda
3us0,Tumor protein 63
3us1,Tumor protein 63
3ut9,Histone H3.2
3uta,Histone H3.2
3utb,Histone H3.2
3uvf,
3uxw,null
3v1z,
3v21,
3v6t,
3v72,DNA polymerase beta
3v7j,DNA polymerase beta
3v7k,DNA polymerase beta
3vd0,Tumor protein p73
3vd1,Tumor protein p73
3vd6,
3vea,Macrodomain Ter protein
3veb,Macrodomain Ter protein
3vek,
3vk7,Probable formamidopyrimidine-DNA glycosylase
3vk8,Probable formamidopyrimidine-DNA glycosylase
3vok,
3vw3,
3vw4,
3vwb,Virulence regulon transcriptional activator VirB
3vxv,Methyl-CpG-binding domain protein 4
3vxx,Methyl-CpG-binding domain protein 4
3vyb,Methyl-CpG-binding domain protein 4
3w2a,Virulence regulon transcriptional activator VirB
3w3c,Virulence regulon transcriptional activator VirB
3w6v,
3w96,Histone H3.1
3w99,Histone H3.1
3wkj,Histone H3.1
3wtp,Histone H3-like centromeric protein A
3wts,Runt-related transcription factor 1
3wtt,Runt-related transcription factor 1
3wtu,Runt-related transcription factor 1
3wtv,Runt-related transcription factor 1
3wtw,Runt-related transcription factor 1
3wtx,Runt-related transcription factor 1
3wty,Runt-related transcription factor 1
3wu1,Runt-related transcription factor 1
3wvg,Type-2 restriction enzyme HindIII
3wvh,Type-2 restriction enzyme HindIII
3wvi,Type-2 restriction enzyme HindIII
3wvp,Type-2 restriction enzyme HindIII
3x1s,Histone H3.1
3x1t,Histone H3.1
3x1v,Histone H3.1
3zdb,Flap endonuclease Xni
3zdd,Flap endonuclease Xni
3zh2,
3zhm,
3zkc,HTH-type transcriptional regulator SinR
3zp5,Protein FEV
3zpl,
3zqc,
3zql,
4a04,T-box transcription factor TBX1
4aa6,Estrogen receptor
4aab,DNA endonuclease I-CreI
4aae,DNA endonuclease I-CreI
4aaf,DNA endonuclease I-CreI
4aag,DNA endonuclease I-CreI
4abt,Type-2 restriction enzyme NgoMIV
4aij,Transcriptional regulator SlyA
4aik,Transcriptional regulator SlyA
4ail,
4aqu,DNA endonuclease I-CreI
4aqx,DNA endonuclease I-CreI
4atk,Microphthalmia-associated transcription factor
4b22,Probable DNA-3-methyladenine glycosylase 2
4b23,Probable DNA-3-methyladenine glycosylase 2
4b24,Probable DNA-3-methyladenine glycosylase 2
4b5f,
4b5g,
4b5i,
4b5j,
4b5m,
4b9m,DNA polymerase I
4b9t,DNA polymerase I
4b9u,DNA polymerase I
4b9v,DNA polymerase I
4bdp,DNA polymerase I
4bhk,
4bnc,ETS translocation variant 1
4boc,"DNA-directed RNA polymerase, mitochondrial"
4bqa,Protein C-ets-2
4bxo,Fanconi anemia group M protein
4c8l,"DNA polymerase I, thermostable"
4c8m,"DNA polymerase I, thermostable"
4c8o,"DNA polymerase I, thermostable"
4chu,HTH-type transcriptional regulator IscR
4cis,Formamidopyrimidine-DNA glycosylase
4cja,
4cn3,Retinoic acid receptor RXR-alpha
4cn5,Retinoic acid receptor RXR-alpha
4cn7,Retinoic acid receptor RXR-alpha
4crx,Recombinase cre
4cyc,Homeotic protein ultrabithorax
4d6n,Homing endonuclease I-DmoI
4d6o,Homing endonuclease I-DmoI
4dk9,Methyl-CpG-binding domain protein 4
4dm0,Transposase for transposon Tn5
4dsl,DNA polymerase I
4e0g,
4e0j,
4e54,DNA damage-binding protein 1
4e7l,Pro-Pol polyprotein
4e9f,Methyl-CpG-binding domain protein 4
4e9g,Methyl-CpG-binding domain protein 4
4e9h,Methyl-CpG-binding domain protein 4
4ea4,Methyl-CpG-binding domain protein 4
4ea5,Methyl-CpG-binding domain protein 4
4ed6,DNA polymerase eta
4efj,
4egy,Arabinose metabolism transcriptional repressor
4egz,Arabinose metabolism transcriptional repressor
4ejy,
4enm,Alkyltransferase-like protein 1
4eot,Transcription factor MafA
4er8,REP-associated tyrosine transposase
4euw,Transcription factor SOX-9
4evv,Methyl-CpG-binding domain protein 4
4ew0,Methyl-CpG-binding domain protein 4
4f2j,
4f41,
4f43,
4f4z,Q4JB80:#DNA polymerase IV#Q97W02:#DNA polymerase IV
4f50,Q4JB80:#DNA polymerase IV#Q97W02:#DNA polymerase IV
4f6m,Transcriptional regulator Kaiso
4f6n,Transcriptional regulator Kaiso
4f8r,DNA polymerase I
4fbu,DNA polymerase IV
4ff1,Virion DNA-directed RNA polymerase
4fm2,DNA polymerase 1
4fm9,DNA topoisomerase 2-alpha
4fth,
4fzx,
4fzy,Exodeoxyribonuclease 10
4fzz,Exodeoxyribonuclease 10
4g4n,Formamidopyrimidine-DNA glycosylase
4g4q,Formamidopyrimidine-DNA glycosylase
4g7h,DNA-directed RNA polymerase subunit alpha
4g7o,DNA-directed RNA polymerase subunit alpha
4g92,
4gck,Nucleoid occlusion factor SlmA
4gct,Nucleoid occlusion factor SlmA
4gdf,Large T antigen
4gfb,DNA-binding protein RAP1
4gjp,
4gjr,
4gle,
4gxi,DNA polymerase beta
4h0e,Arabinose metabolism transcriptional repressor
4h10,Aryl hydrocarbon receptor nuclear translocator-like protein 1
4hc7,Trans-acting T-cell-specific transcription factor GATA-3
4hc9,Trans-acting T-cell-specific transcription factor GATA-3
4hca,Trans-acting T-cell-specific transcription factor GATA-3
4hdu,Alkyltransferase-like protein 1
4hdv,Alkyltransferase-like protein 1
4hf1,HTH-type transcriptional regulator IscR
4hf2,HTH-type transcriptional regulator IscR
4hje,Cellular tumor antigen p53
4hn5,Glucocorticoid receptor
4hn6,Glucocorticoid receptor
4hp1,
4hqe,
4hri,Heterocyst differentiation control protein
4ht4,
4huf,Ribonuclease H
4hyk,DNA polymerase IV
4i2o,
4i8t,
4ibu,Cellular tumor antigen p53
4ibv,Cellular tumor antigen p53
4ibw,Cellular tumor antigen p53
4iem,DNA-(apurinic or apyrimidinic site) lyase
4iht,HTH-type transcriptional regulator BenM
4ihv,
4ihw,
4ihx,
4ihy,
4iri,Transcriptional regulator ERG
4is1,
4itq,
4iwr,
4ix7,Protein insensitive
4j00,
4j19,Homeobox-containing protein 1
4j2x,Recombining binding protein suppressor of hairless
4j3n,DNA topoisomerase 2-beta
4j9p,DNA polymerase eta
4j9q,DNA polymerase eta
4j9r,DNA polymerase eta
4j9s,DNA polymerase eta
4jbk,Interferon-activable protein 202
4jbm,Interferon-inducible protein AIM2
4jcx,
4jcy,
4jl3,
4jqd,
4k1g,Endonuclease 4
4k8z,DNA polymerase
4k96,Cyclic GMP-AMP synthase
4kaz,Ribonuclease T
4kb0,Ribonuclease T
4kb1,Ribonuclease T
4kfc,KDP operon transcriptional regulatory protein KdpE
4klg,DNA polymerase beta
4klh,DNA polymerase beta
4kli,DNA polymerase beta
4klj,DNA polymerase beta
4kll,DNA polymerase beta
4klm,DNA polymerase beta
4klo,DNA polymerase beta
4klt,DNA polymerase beta
4klu,DNA polymerase beta
4kny,KDP operon transcriptional regulatory protein KdpE
4l0y,Runt-related transcription factor 1
4l0z,Runt-related transcription factor 1
4l18,Runt-related transcription factor 1
4l5r,
4l5s,Interferon-activable protein 202
4l62,
4ldx,Auxin response factor 1
4ley,Cyclic GMP-AMP synthase
4lg0,Forkhead box protein O1
4lln,
4lmg,Iron-regulated transcriptional activator AFT2
4lnq,Interferon-activable protein 202
4lox,
4lq0,
4lvi,Plasmid recombination enzyme
4lvj,Plasmid recombination enzyme
4lvk,Plasmid recombination enzyme
4lvl,Plasmid recombination enzyme
4m2y,DNA polymerase beta
4m8b,
4m94,Gag-Pol polyprotein
4m95,Gag-Pol polyprotein
4m9g,DNA polymerase beta
4mf2,DNA polymerase beta
4mf8,DNA polymerase beta
4mfa,DNA polymerase beta
4mg2,DNA oxidative demethylase ALKBH2
4mgt,DNA oxidative demethylase ALKBH2
4mhg,Transcription factor ETV6
4mtd,Zinc uptake regulation protein
4mte,Zinc uptake regulation protein
4mzr,Cellular tumor antigen p53
4nhj,
4nln,DNA polymerase beta
4nlz,DNA polymerase beta
4nm1,DNA polymerase beta
4nm2,DNA polymerase beta
4nnu,"Transcription factor A, mitochondrial"
4nod,"Transcription factor A, mitochondrial"
4nrw,Probable formamidopyrimidine-DNA glycosylase
4nw3,Histone-lysine N-methyltransferase 2A
4o0i,DNA polymerase I
4o5c,DNA polymerase beta
4o6a,Cyclic GMP-AMP synthase
4ofa,Methyl-CpG-binding domain protein 4
4ofe,Methyl-CpG-binding domain protein 4
4ofh,Methyl-CpG-binding domain protein 4
4oln,
4on0,
4ond,
4oor,
4opj,Ribonuclease H
4opk,Ribonuclease H
4osh,
4osi,
4osj,
4osk,
4osl,
4osm,
4osq,
4osr,
4oss,
4ost,
4osv,
4osw,
4osz,
4ot0,
4ot3,
4oto,
4ov7,
4p0p,Crossover junction endonuclease MUS81
4p0q,Crossover junction endonuclease MUS81
4p4p,
4par,
4pcb,
4pcz,Formamidopyrimidine-DNA glycosylase
4pd2,Formamidopyrimidine-DNA glycosylase
4pgy,DNA polymerase beta
4ph5,DNA polymerase beta
4ppx,DNA polymerase beta
4pw5,E3 ubiquitin-protein ligase UHRF2
4pw7,E3 ubiquitin-protein ligase UHRF2
4q0w,DNA repair protein RAD2
4q0z,DNA repair protein RAD2
4q10,DNA repair protein RAD2
4qcb,Uracil-DNA glycosylase
4qr9,High mobility group protein B1
4qtj,White-opaque regulator 1
4qtk,White-opaque regulator 1
4r2a,Early growth response protein 1
4r2c,Early growth response protein 1
4r2d,Early growth response protein 1
4r2e,Wilms tumor protein
4r2p,Wilms tumor protein
4r2q,Wilms tumor protein
4r2r,Wilms tumor protein
4r2s,Wilms tumor protein
4r55,Chromatin protein Cren7
4r56,Chromatin protein Cren7
4r63,DNA polymerase beta
4r64,DNA polymerase beta
4rb1,Ferric uptake regulation protein
4rb2,
4rb3,
4rd5,
4rdm,
4rdu,Homeobox protein DLX-5
4ri8,Fanconi-associated nuclease 1
4ri9,Fanconi-associated nuclease 1
4ria,Fanconi-associated nuclease 1
4ric,Fanconi-associated nuclease 1
4rkg,E3 ubiquitin-protein ligase msl-2
4rkh,
4roc,Transcription factor IIIB 50 kDa subunit
4rod,Transcription factor IIIB 50 kDa subunit
4roe,Transcription factor IIIB 50 kDa subunit
4rq1,DNA polymerase beta
4rq2,DNA polymerase beta
4rq6,DNA polymerase beta
4rq7,DNA polymerase beta
4rq8,DNA polymerase beta
4rve,Type-2 restriction enzyme EcoRV
4s0h,T-box transcription factor TBX5
4s2q,
4tmu,
4tnt,Mineralocorticoid receptor
4tup,DNA polymerase beta
4u0y,HTH-type transcriptional repressor YvoA
4uay,DNA polymerase beta
4ub1,DNA polymerase beta
4ub2,DNA polymerase beta
4ub3,DNA polymerase beta
4un3,
4un4,
4un5,
4un7,Homing endonuclease I-DmoI
4un8,Homing endonuclease I-DmoI
4un9,Homing endonuclease I-DmoI
4una,Homing endonuclease I-DmoI
4unb,Homing endonuclease I-DmoI
4unc,Homing endonuclease I-DmoI
4uno,ETS translocation variant 5
4uqm,Uracil-DNA glycosylase
4ut0,Homing endonuclease I-DmoI
4uus,Homeotic protein ultrabithorax
4uuv,ETS translocation variant 4
4ux5,
4uzb,Protein ORF73
4wls,HTH-type transcriptional regulator CueR
4wlw,HTH-type transcriptional regulator CueR
4wu4,
4wuh,
4wul,
4wuz,Exonuclease
4wwc,HTH-type transcriptional repressor YvoA
4wzw,Pumilio homolog 3
4x4b,
4x4c,
4x4d,
4x4e,
4x4f,
4x4g,
4x4h,
4x4i,
4xeg,G/T mismatch-specific thymine DNA glycosylase
4xo0,Gag-Pol polyprotein
4xpc,Gag-Pol polyprotein
4xpe,Gag-Pol polyprotein
4xqj,Accessory gene regulator A
4xqk,
4xqn,Accessory gene regulator A
4xrm,Homeobox protein Meis2
4xyq,Accessory gene regulator A
4xzq,Histone H3.2
4y60,
4yhx,
4yis,
4ymm,DNA polymerase beta
4ys3,Histone H3.2
4z1x,
4z3a,G/T mismatch-specific thymine DNA glycosylase
4z47,G/T mismatch-specific thymine DNA glycosylase
4z58,Antitoxin HipB
4z59,Antitoxin HipB
4z5c,Antitoxin HipB
4z5d,Antitoxin HipB
4z5h,Antitoxin HipB
4z5t,Histone H3.3C
4z66,Histone H3.2
4z7b,G/T mismatch-specific thymine DNA glycosylase
4z7z,G/T mismatch-specific thymine DNA glycosylase
4zq9,Protein Rep68
5a0m,Intron-encoded endonuclease I-SceI
5a0w,Homing endonuclease I-DmoI
5a72,DNA endonuclease I-CvuI
5a74,DNA endonuclease I-CvuI
5a77,DNA endonuclease I-CvuI
5a78,DNA endonuclease I-CvuI
5ak9,Homing endonuclease I-DmoI
5akf,Homing endonuclease I-DmoI
5akm,Homing endonuclease I-DmoI
5akn,Homing endonuclease I-DmoI
5av5,Histone H3.1
5av6,Histone H3.1
5av8,Histone H3.1
5av9,Histone H3.1
5avb,Histone H3.1
5avc,Histone H3.1
5axw,CRISPR-associated endonuclease Cas9
5ay8,Histone H3.3
5b0y,Histone H3.2
5b0z,Histone H3.2
5b1l,Histone H3.1
5b1m,Histone H3.1
5b2i,Histone H3.1
5b2j,Histone H3.1
5b2o,CRISPR-associated endonuclease Cas9
5b2p,CRISPR-associated endonuclease Cas9
5b2q,CRISPR-associated endonuclease Cas9
5b2r,
5b2s,
5b2t,
5b31,Histone H3.1
5b32,Histone H3.3
5b33,Histone H3.3
5b43,CRISPR-associated endonuclease Cas12a
5bmz,
5bom,DNA polymerase beta
5bpd,Putative HTH-type transcriptional regulator TrmBL2
5bt2,Methyl-CpG-binding protein 2
5cbx,Glucocorticoid receptor
5cby,Glucocorticoid receptor
5cbz,Glucocorticoid receptor
5cc0,Progesterone receptor
5cc1,Glucocorticoid receptor
5cdr,DNA gyrase subunit A
5chz,Methyl-CpG-binding domain protein 4
5cky,
5cl3,
5clv,TrfB transcriptional repressor protein
5cm3,TrfB transcriptional repressor protein
5cnq,
5co0,
5co8,
5cpi,Histone H3.1
5cpk,Histone H3.1
5crj,
5crk,
5crx,Recombinase cre
5cys,G/T mismatch-specific thymine DNA glycosylase
5czz,CRISPR-associated endonuclease Cas9
5d23,
5d2q,
5d2s,
5d49,DNA nucleotidylexotransferase
5d4b,DNA nucleotidylexotransferase
5d5u,
5d5v,
5d5w,
5d5x,
5d8c,Uncharacterized HTH-type transcriptional regulator HI_0186
5d8k,
5d8l,
5d9i,Large T antigen
5db6,DNA polymerase beta
5db7,DNA polymerase beta
5db8,DNA polymerase beta
5db9,DNA polymerase beta
5dba,DNA polymerase beta
5dbb,DNA polymerase beta
5dbc,DNA polymerase beta
5ddm,DNA polymerase lambda
5dff,DNA-(apurinic or apyrimidinic site) lyase
5dfh,DNA-(apurinic or apyrimidinic site) lyase
5dfi,DNA-(apurinic or apyrimidinic site) lyase
5dfj,DNA-(apurinic or apyrimidinic site) lyase
5dg0,DNA-(apurinic or apyrimidinic site) lyase
5dlj,CRISPR-associated endonuclease Cas1
5dqz,CRISPR-associated endonuclease Cas1
5ds5,CRISPR-associated endonuclease Cas1
5ds9,DNA-binding protein Fis
5dtd,DNA-binding protein Fis
5dui,Forkhead box protein O1
5dwa,Type-2 restriction enzyme AgeI
5dwb,Type-2 restriction enzyme AgeI
5dy0,
5e01,Uncharacterized HTH-type transcriptional regulator HI_0186
5e3l,DNA-binding protein Fis
5e3m,DNA-binding protein Fis
5e3n,DNA-binding protein Fis
5e3o,DNA-binding protein Fis
5e5a,Histone H3.2
5e5o,
5e69,Glucocorticoid receptor
5e6a,Glucocorticoid receptor
5e6b,Glucocorticoid receptor
5e6c,Glucocorticoid receptor
5e6d,Glucocorticoid receptor
5ed4,
5eea,Homeobox protein Hox-B13
5ef6,Homeobox protein Hox-B13
5eg6,
5egb,Histone-lysine N-methyltransferase PRDM9
5ego,Homeobox protein Meis1
5eh2,
5ei9,
5emc,Glucocorticoid receptor
5emp,Glucocorticoid receptor
5emq,Glucocorticoid receptor
5esp,Uncharacterized 49.1 kDa protein in ND3 intron
5exh,
5eyb,DNA-binding protein reb1
5eyo,Protein max
5f8a,Type-2 restriction enzyme EcoRV
5f99,Histone H3.2
5fd3,Protein lin-54 homolog
5ff8,G/T mismatch-specific thymine DNA glycosylase
5ffj,
5fmp,HTH-type transcriptional repressor KstR
5fq5,
5fw1,
5fw2,
5g32,DNA repair protein RAD14
5g33,DNA repair protein RAD14
5g34,DNA repair protein RAD14
5gnj,Transcription factor MYC2
5gpc,
5gt0,Histone H3.1
5gt3,Histone H3.1
5gtc,Histone H3.1
5gxq,
5gzb,Transcriptional enhancer factor TEF-3
5h3r,Multiple antibiotic resistance protein MarR
5h9f,CRISPR system Cascade subunit CasA
5hbu,Nucleoid occlusion factor SlmA
5hf7,G/T mismatch-specific thymine DNA glycosylase
5hhh,DNA polymerase beta
5hlg,
5hlh,
5hlk,Type-2 restriction enzyme EcoRV
5hlt,
5hnf,
5hnh,
5hnk,T5 flap endonuclease
5hod,LIM/homeobox protein Lhx4
5hr9,
5hrb,
5hrd,
5hre,
5hrg,
5hso,Uncharacterized HTH-type transcriptional regulator Rv2887
5hto,
5i44,Chromosome-anchoring protein RacA
5i50,Myc proto-oncogene protein
5iff,
5iio,DNA polymerase lambda
5ink,Tyrosyl-DNA phosphodiesterase 2
5inl,Tyrosyl-DNA phosphodiesterase 2
5inp,Tyrosyl-DNA phosphodiesterase 2
5inq,Tyrosyl-DNA phosphodiesterase 2
5itr,Endonuclease 8-like 1
5itt,Endonuclease 8-like 1
5itu,Endonuclease 8-like 1
5itx,Endonuclease 8-like 1
5ity,Endonuclease 8-like 1
5j0o,DNA polymerase beta
5j0p,DNA polymerase beta
5j0q,DNA polymerase beta
5j0r,DNA polymerase beta
5j0s,DNA polymerase beta
5j0t,DNA polymerase beta
5j0u,DNA polymerase beta
5j0w,DNA polymerase beta
5j0x,DNA polymerase beta
5j0y,DNA polymerase beta
5j2y,
5j70,Chromo domain-containing protein 1
5jgh,"ARS-binding factor 2, mitochondrial"
5jh0,"ARS-binding factor 2, mitochondrial"
5jjv,Tyrosine recombinase XerH
5jk0,Tyrosine recombinase XerH
5jlt,Middle transcription regulatory protein motA
5jlx,Homeotic protein antennapedia
5jrg,Histone H3.1
5jub,
5jxy,G/T mismatch-specific thymine DNA glycosylase
5k1y,
5k5i,Transcriptional repressor CTCF
5k5j,Transcriptional repressor CTCF
5k5q,
5k97,Flap endonuclease 1
5kbd,Tumor protein p73
5ke6,Krueppel-like factor 4
5ke7,Krueppel-like factor 4
5ke9,Krueppel-like factor 4
5kea,Krueppel-like factor 4
5keb,Krueppel-like factor 4
5kkq,Transcriptional repressor CTCF
5kl2,Wilms tumor protein
5kl3,Wilms tumor protein
5kl4,Wilms tumor protein
5kl5,Wilms tumor protein
5kl6,Wilms tumor protein
5kl7,Wilms tumor protein
5krb,
5kse,Flap endonuclease 1
5l0m,Nuclear receptor subfamily 5 group A member 2
5l6l,
5l7c,null
5lcl,DNA repair protein RAD14
5lcm,DNA repair protein RAD14
5lej,Listeriolysin regulatory protein
5lek,Listeriolysin regulatory protein
5lgy,Cellular tumor antigen p53
5lty,
5mga,CRISPR-associated endonuclease Cas12a
5mhj,Major viral transcription factor ICP4
5mhk,Major viral transcription factor ICP4
5mlu,Histone H3.2
5n2q,Plasmid recombination enzyme
5o63,
5szx,Trans-activator protein BZLF1
5t00,Transcriptional repressor CTCF
5t01,Transcription factor AP-1
5t1j,T-box transcription factor TBX21
5t2h,
5t2n,
5t2o,
5t2w,G/T mismatch-specific thymine DNA glycosylase
5t4i,"Nuclease EXOG, mitochondrial"
5t5c,"Nuclease EXOG, mitochondrial"
5t7x,Epstein-Barr nuclear antigen 1
5t8d,
5t9j,Flap endonuclease GEN homolog 1
5tgx,
5th3,
5tw1,DNA-directed RNA polymerase subunit alpha
5tzv,DNA polymerase beta
5u30,CRISPR-associated endonuclease Cas12b
5u31,CRISPR-associated endonuclease Cas12b
5u8g,DNA polymerase beta
5u8h,DNA polymerase beta
5u8i,DNA polymerase beta
5u9h,DNA polymerase beta
5ulx,DNA polymerase iota
5um9,Flap endonuclease 1
5und,Transcriptional repressor CTCF
5uzv,
5v04,
5v05,
5v06,
5v07,
5v08,
5v0b,
5v0c,
5v0d,
5v0e,
5v1g,DNA polymerase beta
5v1h,DNA polymerase beta
5v1i,DNA polymerase beta
5v1j,DNA polymerase beta
5v1o,DNA polymerase beta
5va0,Glucocorticoid receptor
5va7,Glucocorticoid receptor
5vi8,DNA-directed RNA polymerase subunit alpha
5voi,DNA-directed RNA polymerase subunit alpha
5vs0,DNA polymerase beta
5vs4,DNA polymerase beta
5vvk,CRISPR-associated endonuclease Cas1
5wvw,Chromatin protein Cren7
5wvy,Chromatin protein Cren7
5wvz,Chromatin protein Cren7
5wwc,Chromatin protein Cren7
5x07,
5x2g,CRISPR-associated endonuclease Cas9
5x2h,CRISPR-associated endonuclease Cas9
5x6d,Listeriolysin regulatory protein
5x7x,Histone H3.3
5xh6,CRISPR-associated endonuclease Cas12a
5xh7,CRISPR-associated endonuclease Cas12a
5xus,
5xut,
5xuu,
5xuz,
6pax,Paired box protein Pax-6
7ice,DNA polymerase beta
7icg,DNA polymerase beta
7ich,DNA polymerase beta
7ici,DNA polymerase beta
7ick,DNA polymerase beta
7icm,DNA polymerase beta
7icn,DNA polymerase beta
7icp,DNA polymerase beta
7icq,DNA polymerase beta
7icr,DNA polymerase beta
7ics,DNA polymerase beta
7ict,DNA polymerase beta
7icv,DNA polymerase beta
8icc,DNA polymerase beta
8ici,DNA polymerase beta
8icm,DNA polymerase beta
8icq,DNA polymerase beta
9ant,Homeotic protein antennapedia
9ick,DNA polymerase beta
9icl,DNA polymerase beta
9icm,DNA polymerase beta
9ico,DNA polymerase beta
9icw,DNA polymerase beta
9icx,DNA polymerase beta
9icy,DNA polymerase beta
